name,id,popularity,followers,dataset_genre
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,86,31139510,psych-rock
George Jones,2OpqcUtj10HHvGG6h9VYC5,63,1380689,honky-tonk
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,80,7234351,funk
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,90,32745742,grunge
Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,79,2769605,blues
Prateek Kuhad,0tC995Rfn9k2l7nqgCZsV7,62,1135476,singer-songwriter
Feid,2LRoIwlKmHjgvigdNGBHNo,88,19404392,latino
Chuck Berry,293zczrfYafIItmnmM3coR,74,2248987,rockabilly
Håkan Hellström,3H7Ez7cwaYw4L3ELy4v3Lc,59,320425,goth
OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,84,18980478,piano
