id,name,artist,release_date,total_tracks,album_type,country
03guxdOi12XJbnvxvxbpwG,Submarine,The Marías,2024-05-31,14,album,ZDA
4klc9KJJVpA7fwJJT1duGq,"She’s Gone, Dance On",Disclosure,2024-05-29,1,single,ZDA
3RajPAonNivFPajGSnsh42,Kill The Vibe,David Guetta,2024-05-31,1,single,ZDA
5Zvp6MgsmxCHWNB4G7WbVl,Click Click Click,Tiësto,2024-05-31,1,single,ZDA
02lrMtGj1XXii9azaaBtPl,Lost In Space,Foster The People,2024-05-31,1,single,ZDA
4XBvrhmXpxJBV87B1Oh0a7,Who Did You Touch?,Montell Fish,2024-05-31,1,single,ZDA
59CeMWslDVrFULYoxotqRl,Make Me Forget,Muni Long,2024-05-31,1,single,ZDA
6dqfoHNZqWOM54L6TxMOXs,Thrown Around,James Blake,2024-05-26,1,single,ZDA
27RxJ1eplbfpUmIX529vcu,MAGNET (with MAX),Gryffin,2024-05-31,3,single,ZDA
4BXnoSeA4uOTWm29ZXDLZu,"Prep-School Gangsters (Spotify OUTSIDE Version) - Live from Queens, NY",Vampire Weekend,2024-05-31,1,single,ZDA
03guxdOi12XJbnvxvxbpwG,Submarine,The Marías,2024-05-31,14,album,VB
4klc9KJJVpA7fwJJT1duGq,"She’s Gone, Dance On",Disclosure,2024-05-29,1,single,VB
3RajPAonNivFPajGSnsh42,Kill The Vibe,David Guetta,2024-05-31,1,single,VB
5Zvp6MgsmxCHWNB4G7WbVl,Click Click Click,Tiësto,2024-05-31,1,single,VB
02lrMtGj1XXii9azaaBtPl,Lost In Space,Foster The People,2024-05-31,1,single,VB
4XBvrhmXpxJBV87B1Oh0a7,Who Did You Touch?,Montell Fish,2024-05-31,1,single,VB
59CeMWslDVrFULYoxotqRl,Make Me Forget,Muni Long,2024-05-31,1,single,VB
6dqfoHNZqWOM54L6TxMOXs,Thrown Around,James Blake,2024-05-26,1,single,VB
27RxJ1eplbfpUmIX529vcu,MAGNET (with MAX),Gryffin,2024-05-31,3,single,VB
4BXnoSeA4uOTWm29ZXDLZu,"Prep-School Gangsters (Spotify OUTSIDE Version) - Live from Queens, NY",Vampire Weekend,2024-05-31,1,single,VB
03guxdOi12XJbnvxvxbpwG,Submarine,The Marías,2024-05-31,14,album,Nemčija
4klc9KJJVpA7fwJJT1duGq,"She’s Gone, Dance On",Disclosure,2024-05-29,1,single,Nemčija
3RajPAonNivFPajGSnsh42,Kill The Vibe,David Guetta,2024-05-31,1,single,Nemčija
5Zvp6MgsmxCHWNB4G7WbVl,Click Click Click,Tiësto,2024-05-31,1,single,Nemčija
02lrMtGj1XXii9azaaBtPl,Lost In Space,Foster The People,2024-05-31,1,single,Nemčija
4XBvrhmXpxJBV87B1Oh0a7,Who Did You Touch?,Montell Fish,2024-05-31,1,single,Nemčija
59CeMWslDVrFULYoxotqRl,Make Me Forget,Muni Long,2024-05-31,1,single,Nemčija
6dqfoHNZqWOM54L6TxMOXs,Thrown Around,James Blake,2024-05-26,1,single,Nemčija
27RxJ1eplbfpUmIX529vcu,MAGNET (with MAX),Gryffin,2024-05-31,3,single,Nemčija
4BXnoSeA4uOTWm29ZXDLZu,"Prep-School Gangsters (Spotify OUTSIDE Version) - Live from Queens, NY",Vampire Weekend,2024-05-31,1,single,Nemčija
03guxdOi12XJbnvxvxbpwG,Submarine,The Marías,2024-05-31,14,album,Francija
4klc9KJJVpA7fwJJT1duGq,"She’s Gone, Dance On",Disclosure,2024-05-29,1,single,Francija
3RajPAonNivFPajGSnsh42,Kill The Vibe,David Guetta,2024-05-31,1,single,Francija
5Zvp6MgsmxCHWNB4G7WbVl,Click Click Click,Tiësto,2024-05-31,1,single,Francija
02lrMtGj1XXii9azaaBtPl,Lost In Space,Foster The People,2024-05-31,1,single,Francija
4XBvrhmXpxJBV87B1Oh0a7,Who Did You Touch?,Montell Fish,2024-05-31,1,single,Francija
59CeMWslDVrFULYoxotqRl,Make Me Forget,Muni Long,2024-05-31,1,single,Francija
6dqfoHNZqWOM54L6TxMOXs,Thrown Around,James Blake,2024-05-26,1,single,Francija
27RxJ1eplbfpUmIX529vcu,MAGNET (with MAX),Gryffin,2024-05-31,3,single,Francija
4BXnoSeA4uOTWm29ZXDLZu,"Prep-School Gangsters (Spotify OUTSIDE Version) - Live from Queens, NY",Vampire Weekend,2024-05-31,1,single,Francija
03guxdOi12XJbnvxvxbpwG,Submarine,The Marías,2024-05-31,14,album,Slovenija
4klc9KJJVpA7fwJJT1duGq,"She’s Gone, Dance On",Disclosure,2024-05-29,1,single,Slovenija
3RajPAonNivFPajGSnsh42,Kill The Vibe,David Guetta,2024-05-31,1,single,Slovenija
5Zvp6MgsmxCHWNB4G7WbVl,Click Click Click,Tiësto,2024-05-31,1,single,Slovenija
02lrMtGj1XXii9azaaBtPl,Lost In Space,Foster The People,2024-05-31,1,single,Slovenija
4XBvrhmXpxJBV87B1Oh0a7,Who Did You Touch?,Montell Fish,2024-05-31,1,single,Slovenija
59CeMWslDVrFULYoxotqRl,Make Me Forget,Muni Long,2024-05-31,1,single,Slovenija
6dqfoHNZqWOM54L6TxMOXs,Thrown Around,James Blake,2024-05-26,1,single,Slovenija
27RxJ1eplbfpUmIX529vcu,MAGNET (with MAX),Gryffin,2024-05-31,3,single,Slovenija
4BXnoSeA4uOTWm29ZXDLZu,"Prep-School Gangsters (Spotify OUTSIDE Version) - Live from Queens, NY",Vampire Weekend,2024-05-31,1,single,Slovenija
